MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
34.01,9.14,61381,60.21,43.3,18.9,36.7,1.23,1.2,1.36,1.69,1.99,2.77,0.37,0.67,1.04,All
33.08,9.32,44571,61.41,42.9,17.8,35.5,1.23,1.2,1.17,1.65,1.97,2.24,0.34,0.64,0.91,Wkd
36.45,8.16,16810,57.22,44.1,20.9,38.8,1.22,1.16,1.23,1.84,1.98,2.22,0.51,0.71,0.81,Wend
35.5,7.27,6308,69.81,43.6,26.5,36,1.23,,,1.65,,,0.34,,,WkdAM
32.24,6.95,15508,85.47,38.7,19.6,34.6,,1.2,,,1.97,,,0.64,,WkdMD
23.43,5.69,7705,84.93,27.5,12.3,25,,,1.17,,,2.24,,,0.91,WkdPM
,,,,,,,,,,,,,,,,
MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
30.17,10.43,15103.79,14.37,40.86,12.93,,1.34,1.32,1.40,2.83,2.95,3.50,1.11,1.24,1.50,All
29.47,10.28,12890.51,17.62,39.99,12.66,,1.34,1.32,1.37,2.80,2.92,3.30,,,,Wkd
34.23,10.22,2070.01,6.91,43.94,,,,,,,,,,,,Wend
30.61,9.62,1858.68,27.75,,14.85,31.69,,,,,,,,,,WkdAM
30.11,9.62,6274.06,34.31,,13.70,31.69,,,,,,,,,,WkdMD
24.50,9.35,2955.78,32.32,,10.17,31.69,,,,,,,,,,WkdPM
