MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
29.81,8.61,68993,67.67,38.7,15.9,31.8,1.19,1.25,1.34,1.69,2.18,2.35,0.42,0.74,0.75,All
29.62,8.57,50685,69.84,38.4,15.8,31.6,1.18,1.25,1.34,1.6,2.17,2.29,0.36,0.74,0.71,Wkd
30.35,8.7,18308,62.32,39.5,16.1,32.4,1.26,1.26,1.31,2.03,2.23,2.42,0.61,0.76,0.86,Wend
32.25,6.08,7318,80.99,37.9,23.7,33,1.18,,,1.6,,,0.36,,,WkdAM
27.51,6.71,16658,91.81,34.3,15.8,29.6,,1.25,,,2.17,,,0.74,,WkdMD
23.59,7.37,8690,95.79,31.6,13.8,24.3,,,1.34,,,2.29,,,0.71,WkdPM
,,,,,,,,,,,,,,,,
MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
28.51,11.37,16075.49,15.29,38.82,11.19,,1.32,1.36,1.44,2.90,3.50,4.00,1.19,1.56,1.77,All
28.34,11.19,13742.36,18.79,38.60,11.24,,1.32,1.36,1.43,2.87,3.42,4.00,,,,Wkd
29.43,12.20,2168.27,7.24,40.40,,,,,,,,,,,,Wend
29.80,10.91,2524.80,27.21,,13.86,30.06,,,,,,,,,,WkdAM
27.07,10.91,5692.79,31.13,,11.28,30.06,,,,,,,,,,WkdMD
24.70,11.37,2538.03,27.76,,8.97,30.06,,,,,,,,,,WkdPM
