MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
28.96,7.5,62648,61.45,35.1,16.7,29.7,1.23,1.15,1.24,1.76,1.9,2.29,0.43,0.65,0.85,All
28.57,7.56,45605,62.84,34.8,16.1,29.5,1.19,1.16,1.29,1.63,1.93,2.56,0.38,0.67,0.98,Wkd
30.03,7.24,17043,58.02,36,19.4,30.3,1.24,1.13,1.15,1.82,1.66,1.79,0.47,0.47,0.56,Wend
28.68,6.69,6137,67.92,34,20.8,29.3,1.19,,,1.63,,,0.38,,,WkdAM
28.32,5.56,15377,84.75,32.8,17,30,,1.16,,,1.93,,,0.67,,WkdMD
23.98,7.23,7971,87.86,31,12.1,26.7,,,1.29,,,2.56,,,0.98,WkdPM
,,,,,,,,,,,,,,,,
MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
29.96,10.70,16221.61,15.43,39.74,14.09,,1.33,1.31,1.39,2.82,2.82,3.68,1.11,1.14,1.60,All
29.53,10.51,13951.46,19.07,38.88,13.84,,1.32,1.31,1.41,2.81,2.85,3.77,,,,Wkd
32.56,11.25,2108.83,7.04,41.91,,,,,,,,,,,,Wend
29.17,10.02,2389.35,27.50,,14.34,30.93,,,,,,,,,,WkdAM
28.84,10.02,5854.80,32.01,,14.09,30.93,,,,,,,,,,WkdMD
26.31,10.95,2657.00,29.06,,10.52,30.93,,,,,,,,,,WkdPM
