MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
28.85,8.61,66840,65.56,37.4,14.4,30.6,1.24,1.22,1.34,1.99,2.18,2.5,0.6,0.79,0.86,All
28.98,8.63,49010,67.53,37.4,14.4,31,1.23,1.2,1.33,1.94,2.03,2.38,0.57,0.68,0.79,Wkd
28.5,8.52,17830,60.7,36.9,14.4,30,1.27,1.25,1.29,2.14,2.38,2.52,0.68,0.91,0.95,Wend
33.29,7.76,7534,83.38,41.1,21.2,35,1.23,,,1.94,,,0.57,,,WkdAM
28.81,6.36,16478,90.82,34.7,17.1,30.4,,1.2,,,2.03,,,0.68,,WkdMD
21.16,6.59,8652,95.37,28.1,11.8,22.5,,,1.33,,,2.38,,,0.79,WkdPM
,,,,,,,,,,,,,,,,
MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
27.83,11.01,14038.74,13.35,37.85,11.28,,1.33,1.33,1.42,3.56,3.30,3.90,1.63,1.47,1.72,All
27.56,10.85,11925.22,16.30,37.41,11.28,,1.34,1.32,1.42,3.55,3.26,3.77,,,,Wkd
29.23,11.71,1965.33,6.56,39.61,,,,,,,,,,,,Wend
29.76,10.09,1794.37,25.46,,13.31,29.74,,,,,,,,,,WkdAM
27.58,10.09,5583.83,30.53,,11.91,29.74,,,,,,,,,,WkdMD
23.63,10.69,2806.90,30.70,,9.33,29.74,,,,,,,,,,WkdPM
