LINK_DIR,MEAN_x,SPDLIMIT_x,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_y,SPDLIMIT_y,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN,SPDLIMIT,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend
107030432T,38.553,49.704,48.461,19.26,5746,5.466,10.444,38.326,49.704,47.84,19.26,5023,6.682,10.344,40.127,49.704,50.325,723,2.414,10.988
107030439T,35.148,44.734,44.734,17.396,7857,7.474,9.929,35.082,44.734,44.734,17.396,6775,9.013,9.937,35.565,44.734,45.355,1082,3.612,9.874
107030440T,34.863,44.734,45.355,17.086,7325,6.968,10.303,34.991,44.734,45.355,17.396,6339,8.433,10.262,34.04,44.734,45.355,986,3.292,10.532
107030444F,36.18,44.734,47.219,16.154,9311,8.857,11.209,35.919,44.734,47.219,15.532,8045,10.703,11.301,37.839,44.734,47.84,1266,4.227,10.461
107030445F,36.602,44.734,47.84,16.775,9256,8.805,11.25,36.24,44.734,47.84,16.775,8008,10.653,11.282,38.929,44.734,49.083,1248,4.167,10.76
107030447F,25.206,44.734,39.142,4.97,8823,8.393,12.731,24.723,44.734,38.521,4.349,7693,10.234,12.697,28.494,44.734,42.248,1130,3.773,12.478
107030448F,32.218,44.734,47.219,7.456,9083,8.641,13.905,31.948,44.734,47.219,7.456,7854,10.449,13.949,33.943,44.734,47.84,1229,4.103,13.5
107030449F,36.827,44.734,48.461,16.154,8846,8.415,11.806,36.328,44.734,48.461,15.532,7641,10.165,11.948,39.994,44.734,50.325,1205,4.023,10.318
107030455F,28.776,44.734,41.006,9.941,13325,12.676,11.403,28.856,44.734,41.006,9.941,11541,15.354,11.401,28.258,44.734,40.074,1784,5.956,11.4
107030458T,33.361,44.734,42.87,16.154,12447,11.841,9.84,33.273,44.734,42.87,16.464,10853,14.438,9.752,33.964,44.734,44.112,1594,5.322,10.405
107030459T,35.702,44.734,45.355,18.639,12268,11.67,9.794,35.403,44.734,44.734,18.018,10735,14.281,9.769,37.8,44.734,46.598,1533,5.118,9.713
107030460F,32.481,44.734,43.491,13.669,12767,12.145,10.763,32.226,44.734,43.491,13.669,11106,14.775,10.741,34.187,44.734,44.112,1661,5.546,10.755
107030461T,41.152,44.734,48.461,27.337,11707,11.137,7.85,41.017,44.734,47.84,27.337,10284,13.681,7.733,42.128,44.734,49.704,1423,4.751,8.583
107030462F,40.889,44.734,49.083,26.095,11759,11.186,8.342,40.659,44.734,48.461,25.473,10299,13.701,8.386,42.513,44.734,50.325,1460,4.874,7.843
107030463T,42.041,44.734,49.083,27.337,12102,11.513,7.895,42.168,44.734,49.083,27.337,10605,14.108,7.865,41.144,44.734,48.461,1497,4.998,8.053
107030464T,41.483,44.734,49.083,24.852,13147,12.507,8.849,41.666,44.734,49.083,24.231,11522,15.328,8.831,40.19,44.734,48.461,1625,5.425,8.866
107030465T,42.13,44.734,49.083,26.716,13916,13.238,8.112,42.413,44.734,49.083,26.716,12138,16.148,8.033,40.2,44.734,48.461,1778,5.936,8.383
107030466T,42.156,44.734,49.083,27.337,13929,13.251,7.793,42.565,44.734,49.083,28.58,12135,16.144,7.438,39.389,44.734,48.461,1794,5.99,9.415
