LINK-DIR,DATE-TIME,EPOCH-5MIN,LENGTH,FREEFLOW,MEAN,STDDEV,MIN,MAX,CONFIDENCE
775719628F,2013-01-07 09:00,108,128,47.4,55,0,55,55,10
775719628F,2013-01-07 09:35,115,128,47.4,59,11.3,51,67,20
775719628F,2013-01-07 09:55,119,128,47.4,55,0,55,55,10
775719628F,2013-01-07 10:15,123,128,47.4,53.5,6.4,49,58,30
775719628F,2013-01-07 10:35,127,128,47.4,60,0,60,60,10
775719628F,2013-01-07 10:40,128,128,47.4,46,0,46,46,10
775719628F,2013-01-14 08:25,101,128,47.4,61,0,61,61,10
775719628F,2013-01-14 08:30,102,128,47.4,47,5.7,43,51,30
775719628F,2013-01-14 08:55,107,128,47.4,59,0,59,59,10
775719628F,2013-01-14 09:00,108,128,47.4,63,0,63,63,10
775719628F,2013-01-14 09:05,109,128,47.4,64.5,7.8,59,70,30
775719628F,2013-01-14 09:10,110,128,47.4,58,0,58,58,10
775719628F,2013-01-14 09:25,113,128,47.4,69.5,6.4,65,74,30
775719628F,2013-01-14 09:35,115,128,47.4,54,18.4,41,67,20
775719628F,2013-01-14 09:55,119,128,47.4,59,0,59,59,10
775719628F,2013-01-14 10:05,121,128,47.4,60,19.8,46,74,20
775719628F,2013-01-14 10:10,122,128,47.4,45,0,45,45,10
775719628F,2013-01-14 10:15,123,128,47.4,42,0,42,42,10
775719628F,2013-01-14 10:25,125,128,47.4,61.5,0.7,61,62,30
775719628F,2013-01-14 10:40,128,128,47.4,65,0,65,65,10
775719628F,2013-01-14 10:50,130,128,47.4,39,0,39,39,10
775719628F,2013-01-21 08:10,98,128,47.4,70,0,70,70,10
775719628F,2013-01-21 09:15,111,128,47.4,30,0,30,30,10
775719628F,2013-01-21 10:05,121,128,47.4,62,6.1,55,66,30
775719628F,2013-01-21 10:15,123,128,47.4,57,0,57,57,10
775719628F,2013-01-21 10:20,124,128,47.4,42,0,42,42,10
775719628F,2013-01-21 11:00,132,128,47.4,50,0,50,50,10
775719628F,2013-01-28 08:05,97,128,47.4,75,0,75,75,10
775719628F,2013-01-28 08:20,100,128,47.4,75,0,75,75,10
775719628F,2013-01-28 08:45,105,128,47.4,48,0,48,48,10
775719628F,2013-01-28 08:50,106,128,47.4,54,0,54,54,10
775719628F,2013-01-28 09:20,112,128,47.4,50,0,50,50,10
775719628F,2013-01-28 09:55,119,128,47.4,49,0,49,49,10
775719628F,2013-01-28 10:10,122,128,47.4,64.5,10.6,57,72,20
775719628F,2013-02-04 08:50,106,128,47.4,42,5.7,38,46,30
775719628F,2013-02-04 10:40,128,128,47.4,57,0,57,57,10
775719628F,2013-02-04 10:50,130,128,47.4,50,0,50,50,10
775719628F,2013-02-04 10:55,131,128,47.4,31,0,31,31,10
775719628F,2013-02-11 08:10,98,128,47.4,66,0,66,66,10
775719628F,2013-02-11 08:20,100,128,47.4,36,0,36,36,10
775719628F,2013-02-11 08:35,103,128,47.4,45,41,16,74,20
775719628F,2013-02-11 08:40,104,128,47.4,40,0,40,40,10
775719628F,2013-02-11 09:10,110,128,47.4,43,2.8,41,45,30
775719628F,2013-02-11 09:20,112,128,47.4,37,0,37,37,10
775719628F,2013-02-11 09:30,114,128,47.4,55,0,55,55,10
775719628F,2013-02-11 09:55,119,128,47.4,51,0,51,51,10
775719628F,2013-02-11 10:30,126,128,47.4,65,0,65,65,10
775719628F,2013-02-18 10:10,122,128,47.4,54,0,54,54,10
775719628F,2013-02-18 10:15,123,128,47.4,61,9.9,54,68,30
775719628F,2013-02-18 10:25,125,128,47.4,65,0,65,65,10
775719628F,2013-02-18 10:35,127,128,47.4,61,0,61,61,10
775719628F,2013-02-18 10:55,131,128,47.4,79,0,79,79,10
775719628F,2013-02-25 08:30,102,128,47.4,51,0,51,51,10
775719628F,2013-02-25 08:45,105,128,47.4,34,0,34,34,10
775719628F,2013-02-25 09:05,109,128,47.4,47,0,47,47,10
775719628F,2013-02-25 09:10,110,128,47.4,49,28.3,29,69,20
775719628F,2013-02-25 09:25,113,128,47.4,46.5,29,26,67,20
775719628F,2013-02-25 09:30,114,128,47.4,65,0,65,65,30
775719628F,2013-02-25 09:35,115,128,47.4,58.3,3.1,55,61,30
775719628F,2013-02-25 09:50,118,128,47.4,77,0,77,77,10
775719628F,2013-02-25 10:15,123,128,47.4,60,8.5,52,69,30
775719628F,2013-02-25 10:20,124,128,47.4,60,0,60,60,10
775719628F,2013-02-25 10:40,128,128,47.4,69,0,69,69,10
775719628F,2013-02-25 10:50,130,128,47.4,53,0,53,53,10
775719628F,2013-02-25 11:00,132,128,47.4,72,0,72,72,10
775719628F,2013-03-11 08:30,102,128,47.4,48,0,48,48,10
775719628F,2013-03-11 08:35,103,128,47.4,52,0,52,52,10
775719628F,2013-03-11 08:50,106,128,47.4,51.5,2.1,50,53,30
775719628F,2013-03-11 09:55,119,128,47.4,50,0,50,50,10
775719628F,2013-03-11 10:50,130,128,47.4,21,0,21,21,10
775719628F,2013-03-11 11:00,132,128,47.4,39,0,39,39,10
775719628F,2013-03-18 08:05,97,128,47.4,51,0,51,51,10
775719628F,2013-03-18 08:10,98,128,47.4,52,0,52,52,10
775719628F,2013-03-18 08:20,100,128,47.4,56,0,56,56,10
775719628F,2013-03-18 08:45,105,128,47.4,43,0,43,43,10
775719628F,2013-03-18 09:15,111,128,47.4,32,0,32,32,10
775719628F,2013-03-18 09:25,113,128,47.4,64,0,64,64,10
775719628F,2013-03-18 09:35,115,128,47.4,83,0,83,83,10
775719628F,2013-03-18 10:05,121,128,47.4,61,0,61,61,10
775719628F,2013-03-25 08:05,97,128,47.4,40,0,40,40,10
775719628F,2013-03-25 08:10,98,128,47.4,46.7,13.1,32,57,30
775719628F,2013-03-25 08:15,99,128,47.4,39.7,7.6,33,48,30
775719628F,2013-03-25 08:45,105,128,47.4,57,0,57,57,10
775719628F,2013-03-25 08:50,106,128,47.4,66.5,3.5,64,69,30
775719628F,2013-03-25 08:55,107,128,47.4,34,0,34,34,10
775719628F,2013-03-25 09:05,109,128,47.4,67,0,67,67,10
775719628F,2013-03-25 09:20,112,128,47.4,43,0,43,43,10
775719628F,2013-03-25 10:15,123,128,47.4,50,0,50,50,10
775719628F,2013-03-25 10:45,129,128,47.4,36,0,36,36,10
775719628F,2013-04-01 08:15,99,128,47.4,68,0,68,68,10
775719628F,2013-04-01 08:45,105,128,47.4,65,0,65,65,10
775719628F,2013-04-01 08:50,106,128,47.4,79,0,79,79,10
775719628F,2013-04-01 08:55,107,128,47.4,61.5,3.5,59,64,30
775719628F,2013-04-01 09:00,108,128,47.4,40,0,40,40,10
775719628F,2013-04-01 09:05,109,128,47.4,52,12.5,40,65,30
775719628F,2013-04-01 09:20,112,128,47.4,34,0,34,34,10
775719628F,2013-04-01 10:05,121,128,47.4,75,1.7,74,77,30
775719628F,2013-04-01 10:15,123,128,47.4,51,0,51,51,10
775719628F,2013-04-01 10:30,126,128,47.4,66,0,66,66,10
775719628F,2013-04-08 08:10,98,128,47.4,45,8.5,39,51,30
775719628F,2013-04-08 08:40,104,128,47.4,53,0,53,53,10
775719628F,2013-04-08 08:50,106,128,47.4,58,0,58,58,10
775719628F,2013-04-08 09:00,108,128,47.4,54,0,54,54,10
775719628F,2013-04-08 09:20,112,128,47.4,54,0,54,54,10
775719628F,2013-04-08 09:30,114,128,47.4,38,0,38,38,10
775719628F,2013-04-08 09:40,116,128,47.4,45,0,45,45,10
775719628F,2013-04-08 10:10,122,128,47.4,53,0,53,53,10
775719628F,2013-04-08 10:15,123,128,47.4,67.8,14.1,54,95,30
775719628F,2013-04-08 11:00,132,128,47.4,43,0,43,43,10
775719628F,2013-04-15 08:00,96,128,47.4,60,0,60,60,10
775719628F,2013-04-15 08:25,101,128,47.4,37,0,37,37,10
775719628F,2013-04-15 08:40,104,128,47.4,59,0,59,59,10
775719628F,2013-04-15 08:50,106,128,47.4,43,0,43,43,10
775719628F,2013-04-15 09:10,110,128,47.4,51,0,51,51,10
775719628F,2013-04-15 09:20,112,128,47.4,51,11.3,43,59,20
775719628F,2013-04-15 09:40,116,128,47.4,46,0,46,46,10
775719628F,2013-04-15 10:00,120,128,47.4,17,0,17,17,10
775719628F,2013-04-15 10:05,121,128,47.4,53,0,53,53,10
775719628F,2013-04-15 10:25,125,128,47.4,48,18.4,35,61,20
775719628F,2013-04-22 08:10,98,128,47.4,66,0,66,66,10
775719628F,2013-04-22 09:05,109,128,47.4,56,18.4,43,69,20
775719628F,2013-04-22 09:10,110,128,47.4,72,0,72,72,10
775719628F,2013-04-22 09:15,111,128,47.4,43,0,43,43,10
775719628F,2013-04-22 09:30,114,128,47.4,53,0,53,53,10
775719628F,2013-04-22 09:45,117,128,47.4,47,0,47,47,10
