LINK_ID,ST_NAME,DIR_TRAVEL
23308158,MAN O' WAR BLVD,T
23320268,MAN O' WAR BLVD,F
23320270,MAN O' WAR BLVD,T
23320380,KY-1425,F
23320387,KY-1425,F
23320398,KY-1425,F
23320410,KY-1425,T
23320414,KY-1425,F
23320565,MAN O' WAR BLVD,T
23320566,MAN O' WAR BLVD,F
23320571,MAN O WAR BLVD,F
27593407,MAN O' WAR BLVD,F
27616976,KY-1425,T
27616977,KY-1425,T
107030432,MAN O' WAR BLVD,T
107030439,MAN O' WAR BLVD,T
107030440,MAN O' WAR BLVD,T
107030444,MAN O' WAR BLVD,F
107030445,MAN O' WAR BLVD,F
107030447,MAN O WAR BLVD,F
107030448,MAN O' WAR BLVD,F
107030449,MAN O' WAR BLVD,F
107030455,MAN O' WAR BLVD,F
107030458,MAN O' WAR BLVD,T
107030459,MAN O' WAR BLVD,T
107030460,MAN O' WAR BLVD,F
107030461,MAN O' WAR BLVD,T
107030462,MAN O' WAR BLVD,F
107030463,MAN O' WAR BLVD,T
107030464,MAN O' WAR BLVD,T
107030465,MAN O' WAR BLVD,T
107030466,MAN O' WAR BLVD,T
107030468,MAN O' WAR BLVD,T
107030469,MAN O' WAR BLVD,F
107030470,MAN O' WAR BLVD,F
107030471,MAN O' WAR BLVD,F
107030473,MAN O' WAR BLVD,T
107030474,MAN O' WAR BLVD,F
107030476,MAN O' WAR BLVD,F
107030477,MAN O' WAR BLVD,T
107030483,MAN O' WAR BLVD,F
107030484,MAN O' WAR BLVD,F
107030485,MAN O' WAR BLVD,T
107030486,MAN O' WAR BLVD,T
107030487,MAN O' WAR BLVD,T
107030488,MAN O' WAR BLVD,F
107030561,MAN O' WAR BLVD,T
107030565,MAN O' WAR BLVD,F
107030568,MAN O' WAR BLVD,T
107034530,MAN O' WAR BLVD,F
107034533,MAN O WAR BLVD,T
107034534,MAN O WAR BLVD,T
107034535,MAN O WAR BLVD,F
107034536,MAN O WAR BLVD,F
107034547,MAN O' WAR BLVD,T
107218265,MAN O' WAR BLVD,T
107218266,MAN O' WAR BLVD,T
107218273,MAN O' WAR BLVD,F
107218274,MAN O' WAR BLVD,F
107373569,MAN O' WAR BLVD,T
107373570,MAN O' WAR BLVD,F
107410437,KY-1425,F
107410438,KY-1425,F
107410440,KY-1425,T
107410441,KY-1425,T
111938004,MAN O WAR BLVD,T
111938038,MAN O' WAR BLVD,B
111981560,MAN O WAR BLVD,T
111981561,MAN O WAR BLVD,T
111981626,MAN O' WAR BLVD,F
111981628,MAN O' WAR BLVD,T
111981912,MAN O' WAR BLVD,T
111981913,MAN O' WAR BLVD,F
111981915,MAN O' WAR BLVD,T
111981916,MAN O' WAR BLVD,F
111981932,MAN O' WAR BLVD,T
111981933,MAN O' WAR BLVD,T
111981934,MAN O' WAR BLVD,F
111981935,MAN O' WAR BLVD,F
111982411,MAN O' WAR BLVD,F
111982413,MAN O' WAR BLVD,T
111982414,MAN O' WAR BLVD,F
111982416,MAN O' WAR BLVD,T
111986234,MAN O' WAR BLVD,F
111986235,MAN O WAR BLVD,T
111986236,MAN O' WAR BLVD,T
111986960,MAN O' WAR BLVD,F
111986961,KY-1425,F
111987063,MAN O' WAR BLVD,T
111987064,MAN O WAR BLVD,T
111987065,MAN O' WAR BLVD,F
111987066,MAN O WAR BLVD,F
111987140,MAN O' WAR BLVD,B
111987141,KY-1425,B
111989989,KY-1425,T
111990715,MAN O' WAR BLVD,T
111990717,MAN O' WAR BLVD,F
111990719,MAN O' WAR BLVD,T
111990720,MAN O' WAR BLVD,F
111990747,MAN O' WAR BLVD,T
111990748,MAN O' WAR BLVD,T
111996193,MAN O' WAR BLVD,T
111999150,MAN O' WAR BLVD,F
111999151,MAN O' WAR BLVD,F
737718829,MAN O' WAR BLVD,B
737718830,MAN O' WAR BLVD,B
775719628,MAN O' WAR BLVD,F
775719629,MAN O' WAR BLVD,F
775719631,MAN O' WAR BLVD,T
775719632,MAN O' WAR BLVD,T
799468412,MAN O' WAR BLVD,F
918450070,MAN O' WAR BLVD,T
918450071,MAN O' WAR BLVD,T
918450072,MAN O' WAR BLVD,F
918450073,MAN O' WAR BLVD,F
924629903,MAN O' WAR BLVD,T
924629904,MAN O' WAR BLVD,T
924629905,MAN O' WAR BLVD,F
924629910,MAN O' WAR BLVD,F
924629911,MAN O' WAR BLVD,F
924629912,MAN O' WAR BLVD,T
997244940,MAN O WAR BLVD,T
997244941,MAN O WAR BLVD,T
997244942,MAN O WAR BLVD,F
997244943,MAN O WAR BLVD,F
998969850,MAN O' WAR BLVD,B
998969851,MAN O' WAR BLVD,B
